Contig,Feature,Feature Start in Contig,Feature End in Contig,Feature Direction in Contig,Domain Accession,Domain Start in Feature,Domain End in Feature,E-value,Bit Score,Domain Coverage,Domain Description
NC_004347,IOPOJEFP_00258,262669,263319,-,TIGR01189,11,209,2.6E-72,240.6,0.98989898989899,"ccmA: heme ABC exporter, ATP-binding protein CcmA"
NC_004347,IOPOJEFP_00260,264025,265299,-,TIGR03142,12,132,1.3E-31,107.3,0.9915254237288136,cytochro_ccmI: cytochrome c-type biogenesis protein CcmI
NC_004347,IOPOJEFP_00261,265671,267650,+,TIGR00353,55,639,2.3E-238,790.7,0.9965397923875432,nrfE: cytochrome c-type biogenesis protein CcmF
NC_004347,IOPOJEFP_00262,267662,268216,+,TIGR00385,6,172,1.4E-55,185.6,0.9942196531791907,"dsbE: periplasmic protein thiol:disulfide oxidoreductases, DsbE subfamily"
NC_004347,IOPOJEFP_00263,268213,268692,+,TIGR03147,11,129,3.0E-51,170.3,0.9285714285714286,"cyt_nit_nrfF: cytochrome c nitrite reductase, accessory protein NrfF"
NC_004347,IOPOJEFP_00268,275264,276538,+,TIGR00200,1,407,3.4E-116,386.3,0.9903381642512077,cinA_nterm: competence/damage-inducible protein CinA N-terminal domain
NC_004347,IOPOJEFP_00271,280524,281504,+,TIGR01850,3,325,1.3E-101,338.2,0.9565217391304348,argC: N-acetyl-gamma-glutamyl-phosphate reductase
NC_004347,IOPOJEFP_00272,281536,282318,+,TIGR00761,8,234,1.1E-54,183.4,0.987012987012987,argB: acetylglutamate kinase
NC_004347,IOPOJEFP_00273,282331,283236,+,TIGR00658,2,300,6.2E-105,348.6,0.9967105263157895,orni_carb_tr: ornithine carbamoyltransferase
NC_004347,IOPOJEFP_00274,283296,284519,+,TIGR00032,12,400,8.9E-135,447.9,0.9822335025380711,argG: argininosuccinate synthase
NC_004347,IOPOJEFP_00275,284611,285978,+,TIGR00838,3,454,6.9E-186,616.6,0.9934065934065934,argH: argininosuccinate lyase
NC_004347,IOPOJEFP_00276,286053,288572,-,TIGR02074,65,770,1.9E-167,556.2,0.9962616822429906,"PBP_1a_fam: penicillin-binding protein, 1A family"
NC_004347,IOPOJEFP_00277,288798,289841,+,TIGR01175,2,341,6.8E-93,309.4,0.9827586206896551,pilM: type IV pilus assembly protein PilM
NC_004347,IOPOJEFP_00281,291567,293621,+,TIGR02515,271,681,5.6E-156,517.8,1.0,IV_pilus_PilQ: type IV pilus secretin PilQ
NC_004347,IOPOJEFP_00283,294362,295441,+,TIGR01357,14,355,2.3E-122,406.5,0.9941860465116279,aroB: 3-dehydroquinate synthase
NC_004347,IOPOJEFP_00285,296921,297760,+,TIGR00571,6,269,1.7E-94,314.4,0.9925093632958801,dam: DNA adenine methylase
NC_004347,IOPOJEFP_00288,298606,299283,+,TIGR01163,5,216,2.7E-98,325.4,1.0,rpe: ribulose-phosphate 3-epimerase
NC_004347,IOPOJEFP_00289,299283,299966,+,TIGR01449,8,218,2.9E-63,211.2,0.9859154929577465,"PGP_bact: phosphoglycolate phosphatase, bacterial"
NC_004347,IOPOJEFP_00290,300003,301001,+,TIGR00233,3,330,1.7E-113,377.2,0.9969512195121951,trpS: tryptophan--tRNA ligase
NC_004347,IOPOJEFP_00295,304307,304633,-,TIGR00252,3,108,2.9E-29,99.5,0.9024390243902439,TIGR00252: TIGR00252 family protein
NC_004347,IOPOJEFP_00297,306578,307423,+,TIGR00096,7,278,2.2E-97,323.7,0.9890909090909091,TIGR00096: 16S rRNA (cytidine(1402)-2'-O)-methyltransferase
NC_004347,IOPOJEFP_00304,314976,317336,+,TIGR03904,23,643,1.5E-263,873.3,0.9982078853046595,SAM_YgiQ: uncharacterized radical SAM protein YgiQ
NC_004347,IOPOJEFP_00306,318823,320142,-,TIGR04299,5,430,4.4E-227,752.2,0.9906976744186047,antiport_PotE: putrescine-ornithine antiporter
NC_004347,IOPOJEFP_00307,320226,322388,-,TIGR04301,1,719,0.0,1429.9,1.0,ODC_inducible: ornithine decarboxylase SpeF
NC_004347,IOPOJEFP_00309,323287,323832,+,TIGR00481,41,179,8.6E-41,137.0,0.9929577464788732,"TIGR00481: Raf kinase inhibitor-like protein, YbhB/YbcL family"
NC_004347,IOPOJEFP_00331,340328,341419,+,TIGR01123,44,358,3.2E-98,326.5,1.0,ilvE_II: branched-chain amino acid aminotransferase
NC_004347,IOPOJEFP_00332,341460,346007,-,TIGR00254,1079,1241,1.1E-45,153.4,0.9761904761904762,GGDEF: diguanylate cyclase (GGDEF) domain
NC_004347,IOPOJEFP_00333,346264,347457,-,TIGR02334,8,396,4.2E-230,761.2,0.9897435897435898,prpF: probable AcnD-accessory protein PrpF
NC_004347,IOPOJEFP_00334,347544,350135,-,TIGR02333,2,859,0.0,1873.0,1.0,"2met_isocit_dHY: 2-methylisocitrate dehydratase, Fe/S-dependent"
NC_004347,IOPOJEFP_00335,350228,351355,-,TIGR01800,11,375,2.3E-157,521.4,0.9972826086956522,cit_synth_II: 2-methylcitrate synthase/citrate synthase II
NC_004347,IOPOJEFP_00336,351590,352468,-,TIGR02317,6,289,7.3E-128,423.7,0.9929824561403509,prpB: methylisocitrate lyase
NC_004347,IOPOJEFP_00340,355703,357229,-,TIGR00368,6,495,2.6E-191,634.5,1.0,TIGR00368: Mg chelatase-like protein
NC_004347,IOPOJEFP_00345,361225,362175,-,TIGR00367,6,302,4.1E-75,250.7,0.9839743589743589,TIGR00367: K+-dependent Na+/Ca+ exchanger homolog
NC_004347,IOPOJEFP_00349,367847,368230,-,TIGR00004,6,125,1.6E-50,168.4,0.968,TIGR00004: reactive intermediate/imine deaminase
NC_004347,IOPOJEFP_00350,368255,370360,-,TIGR00691,26,697,6.7E-266,881.9,0.9970887918486172,spoT_relA: RelA/SpoT family protein
NC_004347,IOPOJEFP_00351,370404,370682,-,TIGR00690,1,60,1.9E-25,86.7,1.0,"rpoZ: DNA-directed RNA polymerase, omega subunit"
NC_004347,IOPOJEFP_00352,370741,371364,-,TIGR03263,5,184,3.9E-76,252.7,0.9944444444444445,guanyl_kin: guanylate kinase
NC_004347,IOPOJEFP_00363,385042,385746,+,TIGR02254,13,232,1.8E-75,251.2,1.0,"YjjG/YfnB: noncanonical pyrimidine nucleotidase, YjjG family"
NC_004347,IOPOJEFP_00371,391526,394627,-,TIGR00348,9,722,1.2E-160,534.2,0.9940652818991098,"hsdR: type I site-specific deoxyribonuclease, HsdR family"
NC_004347,IOPOJEFP_00374,397292,399121,-,TIGR00497,10,477,2.0E-80,268.9,0.9669902912621359,"hsdM: type I restriction-modification system, M subunit"
NC_004347,IOPOJEFP_00387,407220,408188,-,TIGR00737,3,317,9.5E-132,436.9,0.9905956112852664,"nifR3_yhdG: putative TIM-barrel protein, nifR3 family"
NC_004347,IOPOJEFP_00388,408364,409245,-,TIGR00406,3,285,3.5E-104,346.2,0.9965277777777778,prmA: ribosomal protein L11 methyltransferase
NC_004347,IOPOJEFP_00391,411381,413387,+,TIGR01812,7,598,9.9E-219,725.4,1.0,"sdhA_frdA_Gneg: succinate dehydrogenase or fumarate reductase, flavoprotein subunit"
NC_004347,IOPOJEFP_00392,413387,414118,+,TIGR00384,11,235,2.2E-52,175.6,1.0,dhsB: succinate dehydrogenase and fumarate reductase iron-sulfur protein
NC_004347,IOPOJEFP_00394,414463,415476,-,TIGR02817,2,335,3.5E-172,570.4,1.0,adh_fam_1: zinc-binding alcohol dehydrogenase family protein
NC_004347,IOPOJEFP_00399,421774,423039,-,TIGR00767,2,417,2.4E-216,716.4,0.9951807228915662,rho: transcription termination factor Rho
NC_004347,IOPOJEFP_00400,423252,423578,-,TIGR01068,9,106,6.3E-39,130.2,0.9702970297029703,thioredoxin: thioredoxin
NC_004347,IOPOJEFP_00404,426745,427137,-,TIGR00586,2,128,1.7E-39,132.8,0.9844961240310077,mutt: mutator mutT protein
NC_004347,IOPOJEFP_00407,428222,428839,-,TIGR00152,5,188,2.9E-65,217.6,0.9946808510638298,TIGR00152: dephospho-CoA kinase
NC_004347,IOPOJEFP_00410,431608,433317,-,TIGR02538,10,568,2.8E-263,872.6,0.9964539007092199,type_IV_pilB: type IV-A pilus assembly ATPase PilB
NC_004347,IOPOJEFP_00411,433391,433807,-,TIGR02532,11,33,3.0E-9,34.3,0.9583333333333334,IV_pilin_GFxxxE: prepilin-type N-terminal cleavage/methylation domain
NC_004347,IOPOJEFP_00412,434288,435169,-,TIGR00078,30,290,1.3E-95,317.6,0.9628252788104089,nadC: nicotinate-nucleotide diphosphorylase (carboxylating)
NC_004347,IOPOJEFP_00416,438401,441067,+,TIGR00759,6,887,0.0,1522.1,0.9966101694915255,"aceE: pyruvate dehydrogenase (acetyl-transferring), homodimeric type"
NC_004347,IOPOJEFP_00417,441080,443113,+,TIGR01348,228,677,3.0E-196,651.4,0.7529812606473595,PDHac_trf_long: dihydrolipoyllysine-residue acetyltransferase
NC_004347,IOPOJEFP_00418,443263,444690,+,TIGR01350,7,459,2.7E-149,495.7,0.9804772234273319,lipoamide_DH: dihydrolipoyl dehydrogenase
NC_004347,IOPOJEFP_00419,444865,449304,+,TIGR00254,1042,1204,4.4E-39,131.8,0.9761904761904762,GGDEF: diguanylate cyclase (GGDEF) domain
NC_004347,IOPOJEFP_00423,454706,455359,-,TIGR01509,91,188,1.4E-12,46.0,0.5714285714285714,"HAD-SF-IA-v3: HAD hydrolase, family IA, variant 3"
NC_004347,IOPOJEFP_00424,455781,458378,+,TIGR00117,1,853,0.0,1571.0,0.9988151658767772,acnB: aconitate hydratase 2
NC_004347,IOPOJEFP_00426,459488,460552,+,TIGR01464,9,346,9.2E-134,443.7,0.9940828402366864,hemE: uroporphyrinogen decarboxylase
NC_004347,IOPOJEFP_00427,461212,463782,+,TIGR00254,424,584,1.2E-30,104.4,0.9880952380952381,GGDEF: diguanylate cyclase (GGDEF) domain
NC_004347,IOPOJEFP_00431,468431,469729,-,TIGR00877,1,426,9.2E-174,576.1,0.9976470588235294,purD: phosphoribosylamine--glycine ligase
NC_004347,IOPOJEFP_00432,469792,471423,-,TIGR00355,11,543,2.9E-250,829.4,1.0,purH: phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
NC_004347,IOPOJEFP_00433,471759,472250,+,TIGR02043,1,131,9.6E-71,234.0,1.0,ZntR: Zn(II)-responsive transcriptional regulator
NC_004347,IOPOJEFP_00440,478911,479333,-,TIGR01068,41,137,8.2E-33,110.6,0.9603960396039604,thioredoxin: thioredoxin
NC_004347,IOPOJEFP_00443,480305,482338,-,TIGR02123,16,669,2.0E-244,810.9,0.9967479674796748,"TRAP_fused: TRAP transporter, 4TM/12TM fusion protein"
NC_004347,IOPOJEFP_00444,482441,483397,-,TIGR02122,3,316,2.3E-118,392.7,1.0,"TRAP_TAXI: TRAP transporter solute receptor, TAXI family"
NC_004347,IOPOJEFP_00453,490778,492946,+,TIGR01075,6,720,0.0,1248.1,1.0,uvrD: DNA helicase II
