id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn06078_c0	>	Cytosol_0	(kb|g.220339.CDS.4105 or kb|g.220339.CDS.3550 or kb|g.220339.CDS.2169)	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)_c0				(1)  cpd00268[c0] + (1)  cpd00790[c0] + (1)  cpd11421[c0] => (1)  cpd00029[c0] + (1)  cpd00081[c0] + (1)  cpd00135[c0] + (1)  cpd11420[c0]	(1)  H2S2O3_c0[c0] + (1)  O-Acetyl-L-homoserine_c0[c0] + (1)  trdrd_c0[c0] => (1)  Acetate_c0[c0] + (1)  Sulfite_c0[c0] + (1)  Homocysteine_c0[c0] + (1)  trdox_c0[c0]	rxn06078		R02026	Cysteine and methionine metabolism	
rxn00868_c0	<	Cytosol_0	(kb|g.220339.CDS.1648 or kb|g.220339.CDS.3827)	Butanoyl-CoA:(acceptor) 2,3-oxidoreductase_c0		16.55		(1)  cpd00003[c0] + (1)  cpd00120[c0] <= (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd00650[c0]	(1)  NAD_c0[c0] + (1)  Butyryl-CoA_c0[c0] <= (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  Crotonyl-CoA_c0[c0]	rxn00868	ACOAD1	R01171	Butanoate metabolism	Energy-Metabolism|Fermentation
rxn03954_c0	=	Cytosol_0	kb|g.220339.CDS.1025	L-Idonate:NADP oxidoreductase_c0	1.1.1.128	3.76		(1)  cpd00006[c0] + (1)  cpd00573[c0] <=> (1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd00781[c0]	(1)  NADP_c0[c0] + (1)  L-Idonate_c0[c0] <=> (1)  NADPH_c0[c0] + (1)  H+_c0[c0] + (1)  5-Dehydrogluconate_c0[c0]	rxn03954	IDOND2	R05684		Degradation|IDNCAT-PWY|KETOGLUCONMET-PWY|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ACIDS-DEG|Sugar-Derivatives
rxn01675_c0	=	Cytosol_0	kb|g.220339.CDS.831	dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase_c0		1.07		(1)  cpd00089[c0] + (1)  cpd00357[c0] <=> (1)  cpd00012[c0] + (1)  cpd00626[c0]	(1)  Glucose-1-phosphate_c0[c0] + (1)  TTP_c0[c0] <=> (1)  PPi_c0[c0] + (1)  dTDPglucose_c0[c0]	rxn01675	G1PTMT	R02328	Streptomycin biosynthesis|Polyketide sugar unit biosynthesis	Antibiotic-Biosynthesis|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|DTDPRHAMSYN-PWY|ECASYN-PWY|Lipopolysaccharide-Biosynthesis|O-Antigen-Biosynthesis|OANTIGEN-PWY|Rhamnose-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|SUGAR-NUCLEOTIDES
rxn12636_c0	=	Cytosol_0	(kb|g.220339.CDS.3661 or kb|g.220339.CDS.3864 or kb|g.220339.CDS.1424 or kb|g.220339.CDS.2906)	aminopeptidase_c0		-107.14		(1)  cpd00001[c0] + (1)  cpd00067[c0] + (1)  cpd11590[c0] <=> (1)  cpd00035[c0] + (1)  cpd00060[c0]	(1)  H2O_c0[c0] + (1)  H+_c0[c0] + (1)  met-L-ala-L_c0[c0] <=> (1)  L-Alanine_c0[c0] + (1)  L-Methionine_c0[c0]	rxn12636	MEAMP1(met-ala)			
rxn12644_c0	=	Cytosol_0	(kb|g.220339.CDS.3661 or kb|g.220339.CDS.2906 or kb|g.220339.CDS.3864 or kb|g.220339.CDS.1424)	aminopeptidase_c0		-155.57		(1)  cpd00001[c0] + (1)  cpd11582[c0] <=> (1)  cpd00035[c0] + (1)  cpd00161[c0]	(1)  H2O_c0[c0] + (1)  ala-L-Thr-L_c0[c0] <=> (1)  L-Alanine_c0[c0] + (1)  L-Threonine_c0[c0]	rxn12644	MEAMP1(ala-thr)			
rxn05536_c0	>	Cytosol_0	((kb|g.220339.CDS.1940 or kb|g.220339.CDS.1652 or kb|g.220339.CDS.197 or kb|g.220339.CDS.1651 or kb|g.220339.CDS.289) or kb|g.220339.CDS.351 or (kb|g.220339.CDS.181 or kb|g.220339.CDS.2844 or kb|g.220339.CDS.1929) or (kb|g.220339.CDS.1935 or kb|g.220339.CDS.350 or kb|g.220339.CDS.2490 or kb|g.220339.CDS.1938))	Dipeptide transport via ABC system (met-ala)_c0		-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd11590[e0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd11590[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  met-L-ala-L_e0[e0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  met-L-ala-L_c0[c0]	rxn05536	DIPEPabc12			
rxn08800_c0	=	Cytosol_0	(kb|g.220339.CDS.910 or kb|g.220339.CDS.38)	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:1) (periplasm)_c0		-291.05		(1)  cpd00001[c0] + (1)  cpd15326[c0] <=> (1)  cpd00067[c0] + (1)  cpd00080[c0] + (1)  cpd15237[c0]	(1)  H2O_c0[c0] + (1)  1-hexadec-9-enoyl-sn-glycerol 3-phosphate_c0[c0] <=> (1)  H+_c0[c0] + (1)  Glycerol-3-phosphate_c0[c0] + (1)  hexadecenoate_c0[c0]	rxn08800	LPLIPAL1A161pp			
rxn06729_c0	>	Cytosol_0	kb|g.220339.CDS.2463	(R)-3-Hydroxytetradecanoly-[acyl-carrier-protein]:UDP-N-acetyl-_c0	2.3.1.129	-3.61		(1)  cpd00037[c0] + (1)  cpd11484[c0] => (1)  cpd02886[c0] + (1)  cpd11493[c0]	(1)  UDP-N-acetylglucosamine_c0[c0] + (1)  HMA_c0[c0] => (1)  UDP-3-O-(beta-hydroxymyristoyl) -N-acetylglucosamine_c0[c0] + (1)  ACP_c0[c0]	rxn06729	UAGAAT	R04567	Lipopolysaccharide biosynthesis	Biosynthesis|Cell-Structure-Biosynthesis|KDO-NAGLIPASYN-PWY|LPSSYN-PWY|Lipid-Biosynthesis|Lipopolysaccharide-Biosynthesis|NAGLIPASYN-PWY
rxn01387_c0	=	Cytosol_0	kb|g.220339.CDS.1951	Isocitrate:NADP+ oxidoreductase (decarboxylating)_c0		6.22		(1)  cpd00006[c0] + (1)  cpd00260[c0] <=> (1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd03187[c0]	(1)  NADP_c0[c0] + (1)  Isocitrate_c0[c0] <=> (1)  NADPH_c0[c0] + (1)  H+_c0[c0] + (1)  Oxalosuccinate_c0[c0]	rxn01387	IDP2_1	R01899	Citrate cycle (TCA cycle)	
rxn08823_c0	=	Cytosol_0	(kb|g.220339.CDS.910 or kb|g.220339.CDS.38)	Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:1)_c0		-291.05		(1)  cpd00001[c0] + (1)  cpd15357[c0] <=> (1)  cpd00067[c0] + (1)  cpd00080[c0] + (1)  cpd15269[c0]	(1)  H2O_c0[c0] + (1)  2-octadec-11-enoyl-sn-glycerol 3-phosphate_c0[c0] <=> (1)  H+_c0[c0] + (1)  Glycerol-3-phosphate_c0[c0] + (1)  octadecenoate_c0[c0]	rxn08823	LPLIPAL2A181			
rxn05168_c0	>	Cytosol_0	((kb|g.220339.CDS.1047 or kb|g.220339.CDS.922) or (kb|g.220339.CDS.193 or kb|g.220339.CDS.2815) or (kb|g.220339.CDS.920 or kb|g.220339.CDS.195 or kb|g.220339.CDS.2817 or kb|g.220339.CDS.2443) or (kb|g.220339.CDS.194 or kb|g.220339.CDS.919 or kb|g.220339.CDS.2814) or (kb|g.220339.CDS.2816 or kb|g.220339.CDS.2444 or kb|g.220339.CDS.921))	L-Valine-ABC transport_c0		-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00156[e0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00156[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  L-Valine_e0[e0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  L-Valine_c0[c0]	rxn05168	VALabc			
rxn00744_c0	=	Cytosol_0	kb|g.220339.CDS.3032	ATP:glycerone phosphotransferase_c0	2.7.1.29	-14.03		(1)  cpd00002[c0] + (1)  cpd00157[c0] <=> (1)  cpd00008[c0] + (1)  cpd00095[c0]	(1)  ATP_c0[c0] + (1)  Glycerone_c0[c0] <=> (1)  ADP_c0[c0] + (1)  Glycerone-phosphate_c0[c0]	rxn00744	DAK1	R01011	Glycerolipid metabolism|Methane metabolism	Alcohol-Degradation|C1-COMPOUNDS|Degradation|Energy-Metabolism|Formaldehyde-Assimilation|GLYCEROL-DEG|GOLPDLCAT-PWY|P185-PWY
rxn00433_c0	>	Cytosol_0	((kb|g.220339.CDS.3682 or kb|g.220339.CDS.601 or kb|g.220339.CDS.34 or kb|g.220339.CDS.609 or kb|g.220339.CDS.1192 or kb|g.220339.CDS.602) and (kb|g.220339.CDS.1194 or kb|g.220339.CDS.3679 or kb|g.220339.CDS.3558 or kb|g.220339.CDS.36))	Sarcosine:oxygen oxidoreductase (demethylating)_c0	1.5.3.1	-19.03		(1)  cpd00001[c0] + (1)  cpd00007[c0] + (1)  cpd00183[c0] => (1)  cpd00025[c0] + (1)  cpd00033[c0] + (1)  cpd00055[c0]	(1)  H2O_c0[c0] + (1)  O2_c0[c0] + (1)  Sarcosine_c0[c0] => (1)  H2O2_c0[c0] + (1)  Glycine_c0[c0] + (1)  Formaldehyde_c0[c0]	rxn00433	SARCO	R00610	Glycine, serine and threonine metabolism	AMINE-DEG|CRNFORCAT-PWY|Creatinine-Degradation|Degradation
rxn01737_c0	>	Cytosol_0	kb|g.220339.CDS.3742	Raffinose fructohydrolase_c0		-3.11		(1)  cpd00001[c0] + (1)  cpd00382[c0] => (1)  cpd00082[c0] + (1)  cpd03198[c0]	(1)  H2O_c0[c0] + (1)  Melitose_c0[c0] => (1)  D-Fructose_c0[c0] + (1)  Melibiose_c0[c0]	rxn01737	INVRTSc	R02410	Galactose metabolism	
rxn05544_c0	>	Cytosol_0	((kb|g.220339.CDS.1940 or kb|g.220339.CDS.1652 or kb|g.220339.CDS.197 or kb|g.220339.CDS.1651 or kb|g.220339.CDS.289) or kb|g.220339.CDS.351 or (kb|g.220339.CDS.181 or kb|g.220339.CDS.2844 or kb|g.220339.CDS.1929) or (kb|g.220339.CDS.1935 or kb|g.220339.CDS.350 or kb|g.220339.CDS.2490 or kb|g.220339.CDS.1938))	Dipeptide transport via ABC system (ala-leu)_c0		-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd11583[e0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd11583[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  Ala-Leu_e0[e0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  Ala-Leu_c0[c0]	rxn05544	DIPEPabc6			
rxn09313_c0	=	Cytosol_0	(kb|g.220339.CDS.361 and kb|g.220339.CDS.360 and kb|g.220339.CDS.362)	Trimethylamine N-oxide reductase (menaquinol 8)_c0				(1)  cpd00067[c0] + (1)  cpd00811[c0] + (1)  cpd15499[c0] <=> (1)  cpd00001[c0] + (1)  cpd00441[c0] + (1)  cpd15500[c0]	(1)  H+_c0[c0] + (1)  (CH3) 3NO_c0[c0] + (1)  Menaquinol 8_c0[c0] <=> (1)  H2O_c0[c0] + (1)  (CH3) 3N_c0[c0] + (1)  Menaquinone 8_c0[c0]	rxn09313	TMAOR1			
rxn05549_c0	>	Cytosol_0	(Unknown and (kb|g.220339.CDS.1062 or kb|g.220339.CDS.1284 or kb|g.220339.CDS.1031) and (kb|g.220339.CDS.1032 or kb|g.220339.CDS.1063) and Unknown)	Deoxyribose transport via ABC system_c0		-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd01242[e0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd01242[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  Thyminose_e0[e0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  Thyminose_c0[c0]	rxn05549				
rxn03910_c0	=	Cytosol_0	kb|g.220339.CDS.3248	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol_c0		26.77		(1)  cpd08288[c0] <=> (1)  cpd00046[c0] + (1)  cpd08301[c0]	(1)  2-phospho-4--cytidine5-diphospho-2-C-methyl-D-erythritol_c0[c0] <=> (1)  CMP_c0[c0] + (1)  2-C-methyl-D-erythritol2-4-cyclodiphosphate_c0[c0]	rxn03910	MECDPS	R05637	Terpenoid backbone biosynthesis	Biosynthesis|Cofactor-Biosynthesis|DITERPENOID-SYN|GGPP-Biosynthesis|NONMEVIPP-PWY|Other-biosynthesis|Polyprenyl-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|Terpenoid-Biosynthesis
rxn04713_c0	=	Cytosol_0	(kb|g.220339.CDS.3747 and kb|g.220339.CDS.3747)	rxn04713_c0		0		(1)  cpd00078[c0] + (1)  cpd09818[c0] <=> (1)  cpd00036[c0] + (1)  cpd09819[c0]	(1)  Succinyl-CoA_c0[c0] + (1)  Naphthyl-2-methyl-succinic acid_c0[c0] <=> (1)  Succinate_c0[c0] + (1)  Naphthyl-2-methyl-succinyl-CoA_c0[c0]	rxn04713		R06904	Naphthalene degradation	
rxn00816_c0	=	Cytosol_0	(kb|g.220339.CDS.378 or kb|g.220339.CDS.3207)	Lactose galactohydrolase_c0		-3.11		(1)  cpd00001[c0] + (1)  cpd00208[c0] <=> (1)  cpd00027[c0] + (1)  cpd00108[c0]	(1)  H2O_c0[c0] + (1)  LACT_c0[c0] <=> (1)  D-Glucose_c0[c0] + (1)  Galactose_c0[c0]	rxn00816	LACZ	R01100		
rxn02345_c0	=	Cytosol_0	(kb|g.220339.CDS.368 or kb|g.220339.CDS.2493 or kb|g.220339.CDS.2492)	(S)-3-Hydroxybutanoyl-CoA 3-epimerase_c0		0		(1)  cpd00842[c0] <=> (1)  cpd02234[c0]	(1)  (S) -3-Hydroxybutyryl-CoA_c0[c0] <=> (1)  (R) -3-Hydroxybutanoyl-CoA_c0[c0]	rxn02345		R03276	Fatty acid degradation|Butanoate metabolism	
rxn08527_c0	=	Cytosol_0	((kb|g.220339.CDS.1106 and (kb|g.220339.CDS.1103 or kb|g.220339.CDS.3745)) or (Unknown and kb|g.220339.CDS.1102 and Unknown and kb|g.220339.CDS.1101 and Unknown and Unknown) or (kb|g.220339.CDS.1103 or kb|g.220339.CDS.3745))	fumarate reductase_c0		-162.01		(1)  cpd00106[c0] + (1)  cpd15499[c0] <=> (1)  cpd00036[c0] + (1)  cpd15500[c0]	(1)  Fumarate_c0[c0] + (1)  Menaquinol 8_c0[c0] <=> (1)  Succinate_c0[c0] + (1)  Menaquinone 8_c0[c0]	rxn08527	FRD2			
rxn12848_c0	>	Cytosol_0	((kb|g.220339.CDS.1940 or kb|g.220339.CDS.1652 or kb|g.220339.CDS.197 or kb|g.220339.CDS.1651 or kb|g.220339.CDS.289) or kb|g.220339.CDS.351 or (kb|g.220339.CDS.181 or kb|g.220339.CDS.2844 or kb|g.220339.CDS.1929) or (kb|g.220339.CDS.1935 or kb|g.220339.CDS.350 or kb|g.220339.CDS.2490 or kb|g.220339.CDS.1938))	Gly-Cys ABC transporters_c0		2.713		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd15603[e0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd15603[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  Gly-Cys_e0[e0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  Gly-Cys_c0[c0]	rxn12848				
rxn02212_c0	>	Cytosol_0	kb|g.220339.CDS.3598	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase_c0	4.2.3.4	-7.4		(1)  cpd02857[c0] => (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00699[c0]	(1)  DAHP_c0[c0] => (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  5-Dehydroquinate_c0[c0]	rxn02212	ARO1_1	R03083	Phenylalanine, tyrosine and tryptophan biosynthesis	3-Dehydroquinate-Biosynthesis|ALL-CHORISMATE-PWY|ARO-PWY|AROMATIC-COMPOUNDS-BIOSYN|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|Chorismate-Biosynthesis
rxn03419_c0	=	Cytosol_0	kb|g.220339.CDS.2168	Formamidopyrimidine nucleoside triphosphate 7,8-8,9-dihydrolase_c0		-0.5		(1)  cpd00001[c0] + (1)  cpd03518[c0] <=> (1)  cpd00047[c0] + (1)  cpd00067[c0] + (1)  cpd03519[c0]	(1)  H2O_c0[c0] + (1)  Formamidopyrimidine nucleoside triphosphate_c0[c0] <=> (1)  Formate_c0[c0] + (1)  H+_c0[c0] + (1)  2,5-Diaminopyrimidine nucleoside triphosphate_c0[c0]	rxn03419		R05046	Folate biosynthesis	
rxn05408_c0	=	Cytosol_0	(kb|g.220339.CDS.4085 or kb|g.220339.CDS.2981)	2-methylpropionyl-CoA:[acyl-carrier-protein] transferase_c0		0		(1)  cpd00481[c0] + (1)  cpd11493[c0] <=> (1)  cpd00010[c0] + (1)  cpd11545[c0]	(1)  Isobutyryl-CoA_c0[c0] + (1)  ACP_c0[c0] <=> (1)  CoA_c0[c0] + (1)  isobutyryl-ACP_c0[c0]	rxn05408				
rxn10125_c0	=	Cytosol_0	(kb|g.220339.CDS.4100 and kb|g.220339.CDS.4099)	NAD(P) transhydrogenase_c0		0		(1)  cpd00004[c0] + (1)  cpd00006[c0] + (2)  cpd00067[e0] <=> (1)  cpd00003[c0] + (1)  cpd00005[c0] + (2)  cpd00067[c0]	(1)  NADH_c0[c0] + (1)  NADP_c0[c0] + (2)  H+_e0[e0] <=> (1)  NAD_c0[c0] + (1)  NADPH_c0[c0] + (2)  H+_c0[c0]	rxn10125	THD2			
rxn02733_c0	=	Cytosol_0	(kb|g.220339.CDS.1886 or (kb|g.220339.CDS.1885 or kb|g.220339.CDS.1884) or kb|g.220339.CDS.1042)	Mg-protoporphyrin IX magnesium-lyase_c0				(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00254[c0] + (1)  cpd01476[c0] <=> (1)  cpd00008[c0] + (1)  cpd00009[c0] + (3)  cpd00067[c0] + (1)  cpd02216[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  Mg_c0[c0] + (1)  Protoporphyrin_c0[c0] <=> (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (3)  H+_c0[c0] + (1)  Mg-protoporphyrin IX_c0[c0]	rxn02733	MPML	R03877	Porphyrin and chlorophyll metabolism	Biosynthesis|CHLOROPHYLL-SYN|Chlorophyll-Biosynthesis|Chlorophyll-a-Biosynthesis|Chlorophyllide-a-Biosynthesis|Cofactor-Biosynthesis|Porphyrin-Compounds-Biosynthesis
rxn00577_c0	=	Cytosol_0	kb|g.220339.CDS.561	Sucrose:orthophosphate alpha-D-glucosyltransferase_c0		-10.33		(1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00076[c0] <=> (1)  cpd00082[c0] + (1)  cpd00089[c0]	(1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  Sucrose_c0[c0] <=> (1)  D-Fructose_c0[c0] + (1)  Glucose-1-phosphate_c0[c0]	rxn00577		R00803	Starch and sucrose metabolism	
