Contig,Feature,Feature Start in Contig,Feature End in Contig,Feature Direction in Contig,Domain Accession,Domain Start in Feature,Domain End in Feature,E-value,Bit Score,Domain Coverage,Domain Description
FW602_bin_15,HOFBHBDL_00053,40480,42501,-,PF14559.5,527,585,1.10E-06,29,0.867647059,Tetratricopeptide repeat
FW602_bin_15,HOFBHBDL_00054,42874,45252,+,PF00133.21,16,174,2.70E-18,65.5,0.294019934,"tRNA synthetases class I (I, L, M and V)"
FW602_bin_15,HOFBHBDL_00054,42874,45252,+,PF00133.21,253,361,6.60E-13,47.7,0.220930233,"tRNA synthetases class I (I, L, M and V)"
FW602_bin_15,HOFBHBDL_00054,42874,45252,+,PF00133.21,382,598,2.00E-20,72.5,0.292358804,"tRNA synthetases class I (I, L, M and V)"
FW602_bin_15,HOFBHBDL_00055,45269,45826,+,PF12836.6,126,182,3.30E-14,52.8,0.938461538,Helix-hairpin-helix motif
FW602_bin_15,HOFBHBDL_00056,45815,50905,-,PF00376.22,12,48,1.00E-09,37.9,1,MerR family regulatory protein
FW602_bin_15,HOFBHBDL_00057,51034,52092,+,PF03772.15,123,350,3.10E-45,154.5,0.863468635,Competence protein
FW602_bin_15,HOFBHBDL_00058,52122,52961,+,PF00753.26,40,235,2.20E-09,37.5,0.984771574,Metallo-beta-lactamase superfamily
FW602_bin_15,HOFBHBDL_00060,53645,54199,-,PF06210.10,37,139,1.70E-25,89,0.990384615,Protein of unknown function (DUF1003)
FW602_bin_15,HOFBHBDL_00062,54659,55933,+,PF00675.19,14,154,7.80E-38,129.7,0.939597315,Insulinase (Peptidase family M16)
FW602_bin_15,HOFBHBDL_00064,56952,57335,-,PF06271.11,3,121,2.80E-30,105.3,1,RDD family
FW602_bin_15,HOFBHBDL_00066,58226,59956,+,PF06415.12,105,342,2.30E-74,249.4,1,BPG-independent PGAM N-terminus (iPGM_N)
FW602_bin_15,HOFBHBDL_00068,60343,60813,+,PF00213.17,39,150,1.90E-06,28,0.662790698,ATP synthase delta (OSCP) subunit
FW602_bin_15,HOFBHBDL_00069,60800,62260,+,PF00006.24,139,349,8.60E-57,192.1,0.995305164,"ATP synthase alpha/beta family, nucleotide-binding domain"
FW602_bin_15,HOFBHBDL_00070,62253,63125,+,PF00231.18,19,269,1.50E-22,80.6,0.866906475,ATP synthase
FW602_bin_15,HOFBHBDL_00071,63131,64507,+,PF00006.24,126,341,7.20E-54,182.6,1,"ATP synthase alpha/beta family, nucleotide-binding domain"
FW602_bin_15,HOFBHBDL_00072,64497,64757,+,PF02823.15,6,79,4.10E-12,45.7,0.9375,"ATP synthase, Delta/Epsilon chain, beta-sandwich domain"
FW602_bin_15,HOFBHBDL_00073,64760,70852,-,PF00376.22,9,45,3.40E-10,39.4,1,MerR family regulatory protein
FW602_bin_15,HOFBHBDL_00073,64760,70852,-,PF00376.22,68,104,6.30E-10,38.6,1,MerR family regulatory protein
FW602_bin_15,HOFBHBDL_00075,71277,71960,+,PF00590.19,5,202,4.20E-28,98.6,0.981220657,Tetrapyrrole (Corrin/Porphyrin) Methylases
FW602_bin_15,HOFBHBDL_00077,72285,73310,-,PF01702.17,99,337,6.70E-50,169.9,0.928251121,Queuine tRNA-ribosyltransferase
FW602_bin_15,HOFBHBDL_00081,75138,76280,-,PF08308.10,43,106,6.60E-14,51.5,0.914285714,PEGA domain
FW602_bin_15,HOFBHBDL_00082,76340,77350,+,PF06723.12,5,327,1.30E-133,444.8,0.987767584,MreB/Mbl protein
FW602_bin_15,HOFBHBDL_00083,77634,78401,+,PF03808.12,69,239,9.30E-43,146,0.988095238,Glycosyl transferase WecB/TagA/CpsF family
FW602_bin_15,HOFBHBDL_00084,78384,78902,-,PF08281.11,112,163,1.70E-13,49.9,0.962962963,"Sigma-70, region 4"
FW602_bin_15,HOFBHBDL_00086,79145,79927,+,PF00696.27,3,238,1.40E-28,100,1,Amino acid kinase family
FW602_bin_15,HOFBHBDL_00087,80003,81271,+,PF01255.18,19,237,2.20E-67,226.8,1,Putative undecaprenyl diphosphate synthase
FW602_bin_15,HOFBHBDL_00088,81268,82302,-,PF00069.24,54,336,6.90E-24,84.5,0.954545455,Protein kinase domain
FW602_bin_15,HOFBHBDL_00089,82305,83138,-,PF00069.24,28,263,1.30E-32,113.1,0.920454545,Protein kinase domain
FW602_bin_15,HOFBHBDL_00091,83641,83859,+,PF13411.5,19,67,1.40E-10,41,0.695652174,MerR HTH family regulatory protein
FW602_bin_15,HOFBHBDL_00092,83901,84770,+,PF14402.5,91,286,5.60E-26,91.4,0.775100402,7 transmembrane helices usually fused to an inactive transglutaminase
FW602_bin_15,HOFBHBDL_00093,84776,86065,+,PF14397.5,13,283,1.90E-74,250.4,0.986111111,Sugar-transfer associated ATP-grasp
FW602_bin_15,HOFBHBDL_00094,86070,86957,+,PF08443.10,128,290,1.30E-31,109.6,0.856382979,RimK-like ATP-grasp domain
FW602_bin_15,HOFBHBDL_00095,86996,87403,-,PF00542.18,69,135,2.60E-19,69.2,0.985074627,Ribosomal protein L7/L12 C-terminal domain
FW602_bin_15,HOFBHBDL_00096,87423,87941,-,PF00466.19,1,102,1.40E-24,86,1,Ribosomal protein L10
FW602_bin_15,HOFBHBDL_00098,88405,89133,-,PF00687.20,125,236,1.60E-18,67.1,0.590243902,Ribosomal protein L1p/L10e family
FW602_bin_15,HOFBHBDL_00099,89126,89551,-,PF03946.13,9,66,1.10E-24,85.8,1,"Ribosomal protein L11, N-terminal domain"
FW602_bin_15,HOFBHBDL_00102,91187,91615,-,PF00072.23,15,130,5.00E-09,36.2,0.9375,Response regulator receiver domain
FW602_bin_15,HOFBHBDL_00103,91616,92224,-,PF02357.18,32,135,3.90E-26,91.3,0.989473684,Transcription termination factor nusG
FW602_bin_15,HOFBHBDL_00104,92224,92406,-,PF00584.19,6,57,6.30E-15,54.7,0.962962963,SecE/Sec61-gamma subunits of protein translocation complex
FW602_bin_15,HOFBHBDL_00105,92558,93220,+,PF01351.17,24,211,1.40E-30,106.5,0.97979798,Ribonuclease HII
FW602_bin_15,HOFBHBDL_00106,93223,93417,-,PF01165.19,4,54,2.70E-09,36.5,0.927272727,Ribosomal protein S21
FW602_bin_15,HOFBHBDL_00109,94846,95316,+,PF00293.27,3,121,3.00E-17,62.8,0.93129771,NUDIX domain
FW602_bin_15,HOFBHBDL_00111,95952,97730,+,PF00005.26,367,515,7.20E-30,104.2,1,ABC transporter
FW602_bin_15,HOFBHBDL_00112,97909,99144,+,PF00587.24,94,307,2.10E-35,122.2,0.994413408,"tRNA synthetase class II core domain (G, H, P, S and T)"
FW602_bin_15,HOFBHBDL_00113,99211,100638,+,PF04055.20,114,242,8.20E-14,52.2,0.820359281,Radical SAM superfamily
FW602_bin_15,HOFBHBDL_00114,100648,101910,+,PF04055.20,187,338,2.50E-12,47.4,0.958083832,Radical SAM superfamily
FW602_bin_15,HOFBHBDL_00119,106855,107463,+,PF01725.15,4,185,9.30E-11,41.9,0.900584795,Ham1 family
FW602_bin_15,HOFBHBDL_00120,107581,108630,+,PF03033.19,5,140,8.00E-28,97.1,0.978417266,Glycosyltransferase family 28 N-terminal domain
FW602_bin_15,HOFBHBDL_00121,108625,109437,-,PF15610.5,26,247,1.60E-09,37.3,0.886792453,PRTase ComF-like
FW602_bin_15,HOFBHBDL_00122,109394,110098,-,PF00483.22,2,223,9.20E-28,97.4,0.943548387,Nucleotidyl transferase
FW602_bin_15,HOFBHBDL_00123,110095,110688,-,PF00485.17,9,176,2.60E-16,59.9,0.959390863,Phosphoribulokinase / Uridine kinase family
FW602_bin_15,HOFBHBDL_00125,110874,111332,+,PF02661.17,40,103,9.30E-11,42.4,0.773195876,Fic/DOC family
FW602_bin_15,HOFBHBDL_00133,117161,118192,+,PF07478.12,135,334,4.90E-14,52.2,0.970588235,D-ala D-ala ligase C-terminus
FW602_bin_15,HOFBHBDL_00134,118173,118772,+,PF03412.14,17,157,1.00E-06,28.5,0.872180451,Peptidase C39 family
FW602_bin_15,HOFBHBDL_00137,119571,119942,+,PF01230.22,28,120,2.00E-14,54,0.959183673,HIT domain
FW602_bin_15,HOFBHBDL_00139,120516,121283,-,PF03372.22,4,247,1.30E-05,24.8,1,Endonuclease/Exonuclease/phosphatase family
FW602_bin_15,HOFBHBDL_00140,121330,121677,+,PF00903.24,3,110,4.00E-10,39.9,0.9921875,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
FW602_bin_15,HOFBHBDL_00142,122058,122639,+,PF00293.27,47,159,1.70E-14,53.9,0.877862595,NUDIX domain
FW602_bin_15,HOFBHBDL_00145,124019,125080,+,PF00293.27,6,145,8.40E-17,61.3,0.954198473,NUDIX domain
FW602_bin_15,HOFBHBDL_00149,126985,127176,-,PF00471.19,8,59,3.90E-13,49.5,0.978723404,Ribosomal protein L33
FW602_bin_15,HOFBHBDL_00151,127640,128512,+,PF00398.19,20,206,2.50E-32,111.9,0.724528302,Ribosomal RNA adenine dimethylase
FW602_bin_15,HOFBHBDL_00152,128519,128944,+,PF00293.27,16,128,1.10E-18,67.4,0.877862595,NUDIX domain
FW602_bin_15,HOFBHBDL_00153,129014,129595,+,PF01928.20,7,162,1.70E-17,63.8,0.988826816,CYTH domain
FW602_bin_15,HOFBHBDL_00155,129764,130792,-,PF02547.14,4,341,1.80E-125,418.3,0.99691358,Queuosine biosynthesis protein
FW602_bin_15,HOFBHBDL_00159,132294,132914,-,PF02163.21,119,172,1.70E-08,34,0.232,Peptidase family M50
FW602_bin_15,HOFBHBDL_00160,132956,133207,+,PF00830.18,4,70,1.30E-10,41.2,0.966666667,Ribosomal L28 family
FW602_bin_15,HOFBHBDL_00161,133158,134036,-,PF00551.18,1,172,1.80E-36,125.4,0.988950276,Formyl transferase
FW602_bin_15,HOFBHBDL_00162,134064,134597,-,PF01327.20,3,160,5.30E-44,149.5,0.981132075,Polypeptide deformylase
FW602_bin_15,HOFBHBDL_00163,134624,136600,-,PF04932.14,213,385,5.40E-18,65,0.980645161,O-Antigen ligase
FW602_bin_15,HOFBHBDL_00164,136649,137695,+,PF06723.12,11,339,9.20E-137,455.1,0.993883792,MreB/Mbl protein
FW602_bin_15,HOFBHBDL_00165,137816,139333,+,PF00905.21,196,497,2.10E-65,220.8,0.996732026,Penicillin binding protein transpeptidase domain
FW602_bin_15,HOFBHBDL_00167,139959,140567,+,PF02481.14,15,183,6.50E-61,205.1,0.8,DNA recombination-mediator protein A
FW602_bin_15,HOFBHBDL_00168,140605,142557,+,PF01131.19,124,516,6.10E-130,433.8,0.99031477,DNA topoisomerase
FW602_bin_15,HOFBHBDL_00169,142595,142924,+,PF03819.16,28,98,1.50E-16,60.2,0.864864865,MazG nucleotide pyrophosphohydrolase domain
FW602_bin_15,HOFBHBDL_00170,142930,143610,+,PF00692.18,101,185,1.20E-05,24.9,0.643410853,dUTPase
FW602_bin_15,HOFBHBDL_00171,143658,144560,+,PF02511.14,75,275,1.70E-45,155,0.957446809,Thymidylate synthase complementing protein
FW602_bin_15,HOFBHBDL_00173,144975,145667,+,PF02223.16,13,204,3.70E-46,157,1,Thymidylate kinase
FW602_bin_15,HOFBHBDL_00174,145664,146344,+,PF00265.17,9,173,3.40E-43,147.5,0.870056497,Thymidine kinase
FW602_bin_15,HOFBHBDL_00175,146365,147600,+,PF00464.18,3,380,7.60E-151,502.1,0.984962406,Serine hydroxymethyltransferase
FW602_bin_15,HOFBHBDL_00176,147604,148347,+,PF00763.22,11,114,2.00E-27,95.7,0.939655172,"Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain"
FW602_bin_15,HOFBHBDL_00178,148906,149586,+,PF00318.19,9,219,1.90E-76,256,0.976744186,Ribosomal protein S2
FW602_bin_15,HOFBHBDL_00179,149615,150079,+,PF00889.18,73,151,1.30E-14,54.2,0.365384615,Elongation factor TS
FW602_bin_15,HOFBHBDL_00180,150085,150639,+,PF01765.18,17,182,8.00E-46,155.8,1,Ribosome recycling factor
FW602_bin_15,HOFBHBDL_00181,150692,151828,+,PF02163.21,17,350,6.20E-49,166.4,0.988,Peptidase family M50
FW602_bin_15,HOFBHBDL_00183,152106,153545,+,PF09180.10,412,479,7.90E-23,80.4,1,"Prolyl-tRNA synthetase, C-terminal"
FW602_bin_15,HOFBHBDL_00187,154801,155760,+,PF01933.17,4,294,9.80E-82,274.4,0.986348123,Uncharacterised protein family UPF0052
FW602_bin_15,HOFBHBDL_00188,155880,156200,+,PF01230.22,11,99,1.70E-16,60.6,0.969387755,HIT domain
FW602_bin_15,HOFBHBDL_00189,156197,156640,+,PF09424.9,4,145,3.20E-43,147.1,0.993006993,Yqey-like protein
FW602_bin_15,HOFBHBDL_00190,156637,157023,+,PF02130.16,17,127,3.80E-15,55.7,0.78125,Uncharacterized protein family UPF0054
FW602_bin_15,HOFBHBDL_00191,157050,158522,+,PF13177.5,19,174,7.50E-43,146,0.969325153,"DNA polymerase III, delta subunit"
FW602_bin_15,HOFBHBDL_00192,158560,158841,+,PF02575.15,10,86,9.90E-11,41.6,0.967032967,YbaB/EbfC DNA-binding family
FW602_bin_15,HOFBHBDL_00193,158847,159452,+,PF13662.5,81,173,1.40E-23,83.1,0.97752809,Toprim domain
FW602_bin_15,HOFBHBDL_00196,160755,162188,+,PF01406.18,15,328,4.00E-102,341.5,0.986710963,tRNA synthetases class I (C) catalytic domain
FW602_bin_15,HOFBHBDL_00203,165494,166126,+,PF00005.26,24,161,2.20E-23,83.2,0.99270073,ABC transporter
FW602_bin_15,HOFBHBDL_00204,166116,166895,+,PF00950.16,9,252,2.50E-49,168,0.965116279,ABC 3 transport family
FW602_bin_15,HOFBHBDL_00205,166923,168119,+,PF07690.15,16,227,2.40E-41,141.8,0.637393768,Major Facilitator Superfamily
FW602_bin_15,HOFBHBDL_00205,166923,168119,+,PF07690.15,217,391,4.30E-21,75.1,0.498583569,Major Facilitator Superfamily
FW602_bin_15,HOFBHBDL_00206,168163,168597,+,PF08570.9,7,140,2.10E-31,108.7,0.992,Protein of unknown function (DUF1761)
FW602_bin_15,HOFBHBDL_00209,169767,170738,+,PF06071.12,239,321,1.60E-35,121,0.988095238,Protein of unknown function (DUF933)
FW602_bin_15,HOFBHBDL_00210,170831,171085,+,PF01250.16,3,83,1.70E-06,28.1,1,Ribosomal protein S6
FW602_bin_15,HOFBHBDL_00211,171087,171572,+,PF00436.24,5,106,4.50E-39,132.6,0.980769231,Single-strand binding protein family
FW602_bin_15,HOFBHBDL_00212,171535,171771,+,PF01084.19,31,78,3.10E-25,88,0.923076923,Ribosomal protein S18
FW602_bin_15,HOFBHBDL_00213,171778,173040,+,PF03572.17,233,398,7.00E-45,152.5,1,Peptidase family S41
FW602_bin_15,HOFBHBDL_00215,173848,174540,-,PF00472.19,96,203,2.50E-35,120.9,0.982758621,RF-1 domain
FW602_bin_15,HOFBHBDL_00216,174541,174849,-,PF01197.17,1,63,5.20E-26,90.6,0.970149254,Ribosomal protein L31
FW602_bin_15,HOFBHBDL_00218,175314,176231,-,PF00892.19,8,140,4.40E-15,56,0.97810219,EamA-like transporter family
FW602_bin_15,HOFBHBDL_00218,175314,176231,-,PF00892.19,155,294,9.90E-19,67.8,0.97080292,EamA-like transporter family
FW602_bin_15,HOFBHBDL_00219,176252,177142,-,PF13393.5,10,162,2.60E-27,95.8,0.493548387,Histidyl-tRNA synthetase
FW602_bin_15,HOFBHBDL_00219,176252,177142,-,PF13393.5,186,292,7.30E-18,64.8,0.329032258,Histidyl-tRNA synthetase
FW602_bin_15,HOFBHBDL_00222,178581,179231,+,PF13483.5,3,162,5.10E-49,166.2,0.993865031,Beta-lactamase superfamily domain
FW602_bin_15,HOFBHBDL_00223,179231,180550,+,PF03796.14,184,430,3.70E-98,327.8,0.992156863,DnaB-like helicase C terminal domain
FW602_bin_15,HOFBHBDL_00224,180593,181492,+,PF13649.5,96,192,8.10E-08,32.8,1,Methyltransferase domain
FW602_bin_15,HOFBHBDL_00226,181711,182274,+,PF09285.10,129,184,1.90E-27,94.7,1,"Elongation factor P, C-terminal"
FW602_bin_15,HOFBHBDL_00229,183439,183840,+,PF01258.16,98,133,9.30E-11,41.4,1,Prokaryotic dksA/traR C4-type zinc finger
FW602_bin_15,HOFBHBDL_00230,183837,184544,+,PF00849.21,13,171,8.10E-31,107.2,0.99378882,RNA pseudouridylate synthase
FW602_bin_15,HOFBHBDL_00232,185547,186200,-,PF14559.5,15,75,5.10E-06,26.8,0.897058824,Tetratricopeptide repeat
FW602_bin_15,HOFBHBDL_00233,186280,187011,+,PF01709.19,5,235,7.40E-80,267.7,1,Transcriptional regulator
FW602_bin_15,HOFBHBDL_00236,189382,190332,+,PF00589.21,126,300,6.90E-43,146.3,0.98255814,Phage integrase family
FW602_bin_15,HOFBHBDL_00237,190336,190986,-,PF00293.27,15,144,6.10E-09,35.9,0.870229008,NUDIX domain
FW602_bin_15,HOFBHBDL_00238,191006,192655,-,PF00750.18,100,423,1.60E-34,119.3,0.962750716,tRNA synthetases class I (R)
FW602_bin_15,HOFBHBDL_00239,192665,193228,-,PF00300.21,7,152,2.10E-11,43.8,0.793814433,Histidine phosphatase superfamily (branch 1)
FW602_bin_15,HOFBHBDL_00242,195652,198258,-,PF00521.19,30,201,1.60E-79,267.7,0.408450704,"DNA gyrase/topoisomerase IV, subunit A"
FW602_bin_15,HOFBHBDL_00242,195652,198258,-,PF00521.19,249,513,2.30E-63,214.5,0.593896714,"DNA gyrase/topoisomerase IV, subunit A"
FW602_bin_15,HOFBHBDL_00243,198355,201489,-,PF13290.5,475,538,4.80E-09,36,0.895522388,Chitobiase/beta-hexosaminidase C-terminal domain
FW602_bin_15,HOFBHBDL_00245,202402,202794,-,PF13473.5,34,128,2.30E-12,46.9,0.942307692,Cupredoxin-like domain
FW602_bin_15,HOFBHBDL_00246,202791,203426,-,PF00625.20,6,100,6.20E-23,81.3,0.505494505,Guanylate kinase
FW602_bin_15,HOFBHBDL_00247,203423,203989,-,PF04203.12,67,187,3.60E-20,71.9,0.976,Sortase family
FW602_bin_15,HOFBHBDL_00250,205695,206858,-,PF07995.10,131,373,1.90E-15,56.9,0.725903614,Glucose / Sorbosone dehydrogenase
FW602_bin_15,HOFBHBDL_00251,206851,207567,-,PF01925.18,7,233,1.60E-25,90,0.995762712,Sulfite exporter TauE/SafE
FW602_bin_15,HOFBHBDL_00252,207574,207945,-,PF07883.10,32,100,3.50E-16,58.6,0.971830986,Cupin domain
FW602_bin_15,HOFBHBDL_00253,208010,208489,+,PF03073.14,12,154,1.40E-41,141.6,0.977777778,TspO/MBR family
FW602_bin_15,HOFBHBDL_00255,208699,209211,-,PF01464.19,87,157,9.40E-09,34.8,0.598290598,Transglycosylase SLT domain
FW602_bin_15,HOFBHBDL_00257,209592,210395,+,PF09992.8,97,247,2.00E-14,54,0.864705882,Phosphodiester glycosidase
FW602_bin_15,HOFBHBDL_00259,211006,212826,-,PF00009.26,2,195,7.40E-56,188.7,0.989690722,Elongation factor Tu GTP binding domain
FW602_bin_15,HOFBHBDL_00260,212924,213679,+,PF04402.13,43,248,1.50E-39,136.4,1,Protein of unknown function (DUF541)
FW602_bin_15,HOFBHBDL_00262,214507,214983,-,PF00719.18,5,157,4.10E-51,172.8,0.98125,Inorganic pyrophosphatase
FW602_bin_15,HOFBHBDL_00263,214998,215345,-,PF00196.18,17,62,4.60E-06,26,0.789473684,"Bacterial regulatory proteins, luxR family"
FW602_bin_15,HOFBHBDL_00264,215371,217317,-,PF00204.24,236,406,1.70E-53,180.6,0.994252874,DNA gyrase B
FW602_bin_15,HOFBHBDL_00265,217343,217987,-,PF00300.21,3,205,2.40E-34,118.6,0.994845361,Histidine phosphatase superfamily (branch 1)
FW602_bin_15,HOFBHBDL_00266,217984,218592,-,PF13177.5,35,109,2.50E-17,63,0.472392638,"DNA polymerase III, delta subunit"
FW602_bin_15,HOFBHBDL_00267,218687,220420,+,PF00005.26,353,502,1.40E-33,116.2,1,ABC transporter
FW602_bin_15,HOFBHBDL_00268,220464,222200,+,PF00437.19,204,464,3.80E-79,265.5,0.970695971,Type II/IV secretion system protein
FW602_bin_15,HOFBHBDL_00269,222204,223259,+,PF00437.19,113,264,8.40E-38,129.9,0.553113553,Type II/IV secretion system protein
FW602_bin_15,HOFBHBDL_00270,223265,224470,+,PF00482.22,68,190,1.70E-31,108.7,1,"Type II secretion system (T2SS), protein F"
FW602_bin_15,HOFBHBDL_00270,223265,224470,+,PF00482.22,271,393,3.70E-24,85,0.992,"Type II secretion system (T2SS), protein F"
FW602_bin_15,HOFBHBDL_00271,224546,226666,-,PF10412.8,320,389,1.70E-04,20.6,0.165803109,Type IV secretion-system coupling protein DNA-binding domain
FW602_bin_15,HOFBHBDL_00274,228089,230089,-,PF05257.15,512,605,1.70E-07,31.6,0.928571429,CHAP domain
FW602_bin_15,HOFBHBDL_00275,230228,230815,+,PF07963.11,7,28,2.00E-05,23.8,0.814814815,Prokaryotic N-terminal methylation motif
FW602_bin_15,HOFBHBDL_00276,230825,231607,+,PF06750.12,8,90,9.30E-28,96.1,0.988095238,Bacterial Peptidase A24 N-terminal domain
FW602_bin_15,HOFBHBDL_00277,231621,232025,+,PF07963.11,7,29,2.10E-05,23.8,0.851851852,Prokaryotic N-terminal methylation motif
FW602_bin_15,HOFBHBDL_00279,232648,233175,+,PF07963.11,7,29,5.40E-09,35.1,0.851851852,Prokaryotic N-terminal methylation motif
FW602_bin_15,HOFBHBDL_00280,233185,233691,+,PF07963.11,12,37,8.90E-10,37.6,0.962962963,Prokaryotic N-terminal methylation motif
FW602_bin_15,HOFBHBDL_00281,233688,234140,+,PF08334.10,32,111,5.40E-07,29.6,0.675925926,"Type II secretion system (T2SS), protein G"
FW602_bin_15,HOFBHBDL_00282,234137,234577,+,PF07963.11,6,27,1.40E-06,27.5,0.814814815,Prokaryotic N-terminal methylation motif
FW602_bin_15,HOFBHBDL_00283,234574,235050,+,PF07963.11,3,26,6.50E-05,22.2,0.888888889,Prokaryotic N-terminal methylation motif
FW602_bin_15,HOFBHBDL_00285,235499,235993,+,PF07963.11,7,28,1.50E-05,24.2,0.814814815,Prokaryotic N-terminal methylation motif
FW602_bin_15,HOFBHBDL_00287,236957,237976,+,PF11104.7,4,337,3.70E-56,190.5,0.997058824,Type IV pilus assembly protein PilM;
FW602_bin_15,HOFBHBDL_00289,238515,239192,+,PF04350.12,53,166,1.20E-05,25.4,0.787671233,"Pilus assembly protein, PilO"
FW602_bin_15,HOFBHBDL_00290,239210,239440,-,PF13083.5,2,72,4.20E-09,36.1,0.98630137,KH domain
FW602_bin_15,HOFBHBDL_00291,239437,239655,-,PF00886.18,8,64,2.20E-15,56.3,1,Ribosomal protein S16
FW602_bin_15,HOFBHBDL_00292,239664,240323,-,PF14622.5,7,137,3.20E-40,137.2,0.9921875,Ribonuclease-III-like
FW602_bin_15,HOFBHBDL_00293,240326,240667,-,PF01029.17,24,102,2.10E-25,89.4,0.597014925,NusB family
FW602_bin_15,HOFBHBDL_00294,240664,240825,-,PF01783.22,3,53,4.00E-12,46.1,0.875,Ribosomal L32p protein family
FW602_bin_15,HOFBHBDL_00295,240828,242828,-,PF00270.28,264,420,1.40E-19,70.5,0.982954545,DEAD/DEAH box helicase
FW602_bin_15,HOFBHBDL_00297,242957,244111,-,PF00579.24,28,311,2.10E-61,207.7,0.993174061,tRNA synthetases class I (W and Y)
FW602_bin_15,HOFBHBDL_00300,245967,248525,+,PF00912.21,80,255,4.30E-61,205.4,0.988764045,Transglycosylase
FW602_bin_15,HOFBHBDL_00301,248515,250467,-,PF03483.16,107,279,6.10E-48,162.7,0.988505747,B3/4 domain
